# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -320.00000000 ps, Average over 40 waveforms. Timestamp: 2021-08-03T15:33:19
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-320.00000233	-0.00060588
-319.96666900	-0.00031320
-319.93333566	-0.00049511
-319.90000233	-0.00040478
-319.86666900	-0.00032337
-319.83333566	0.00029326
-319.80000233	-0.00035392
-319.76666900	-0.00045844
-319.73333566	-0.00025777
-319.70000233	-0.00033562
-319.66666899	-0.00005586
-319.63333566	-0.00012570
-319.60000233	0.00017332
-319.56666899	0.00002744
-319.53333566	-0.00018877
-319.50000233	-0.00023267
-319.46666899	-0.00010477
-319.43333566	0.00000528
-319.40000233	0.00005944
-319.36666899	-0.00000786
-319.33333566	0.00013169
-319.30000233	0.00027332
-319.26666899	0.00031360
-319.23333566	0.00073292
-319.20000233	0.00036167
-319.16666899	0.00056585
-319.13333566	0.00047859
-319.10000232	0.00039161
-319.06666899	0.00045572
-319.03333566	0.00058314
-319.00000232	0.00080484
-318.96666899	0.00053207
-318.93333566	0.00052734
-318.90000232	0.00084768
-318.86666899	0.00102753
-318.83333566	0.00068188
-318.80000232	0.00086262
-318.76666899	0.00064730
-318.73333566	0.00069233
-318.70000232	0.00054289
-318.66666899	0.00018665
-318.63333566	0.00059999
-318.60000232	0.00049418
-318.56666899	0.00034811
-318.53333565	0.00068779
-318.50000232	0.00031810
-318.46666899	0.00029524
-318.43333565	0.00007180
-318.40000232	-0.00008771
-318.36666899	0.00016453
-318.33333565	0.00002222
-318.30000232	0.00007409
-318.26666899	-0.00012215
-318.23333565	-0.00009987
-318.20000232	-0.00061420
-318.16666899	-0.00042054
-318.13333565	-0.00053410
-318.10000232	-0.00018592
-318.06666899	-0.00039696
-318.03333565	-0.00052565
-318.00000232	-0.00043402
-317.96666898	-0.00072159
-317.93333565	-0.00071705
-317.90000232	-0.00063834
-317.86666898	-0.00029027
-317.83333565	-0.00027485
-317.80000232	-0.00053485
-317.76666898	-0.00027818
-317.73333565	-0.00069577
-317.70000232	-0.00024082
-317.66666898	-0.00040121
-317.63333565	-0.00026745
-317.60000232	-0.00043662
-317.56666898	-0.00028786
-317.53333565	-0.00058043
-317.50000232	-0.00034515
-317.46666898	-0.00044131
-317.43333565	-0.00036777
-317.40000231	-0.00023962
-317.36666898	-0.00023341
-317.33333565	-0.00043179
-317.30000231	-0.00057792
-317.26666898	-0.00025967
-317.23333565	-0.00018470
-317.20000231	-0.00073119
-317.16666898	-0.00052142
-317.13333565	-0.00029338
-317.10000231	-0.00011279
-317.06666898	-0.00016595
-317.03333565	-0.00059806
-317.00000231	-0.00056610
-316.96666898	-0.00043000
-316.93333565	-0.00040230
-316.90000231	-0.00052018
-316.86666898	-0.00060316
-316.83333564	-0.00064922
-316.80000231	-0.00069048
-316.76666898	-0.00086457
-316.73333564	-0.00072740
-316.70000231	-0.00073529
-316.66666898	-0.00077944
-316.63333564	-0.00088729
-316.60000231	-0.00074164
-316.56666898	-0.00065185
-316.53333564	-0.00084008
-316.50000231	-0.00101902
-316.46666898	-0.00065851
-316.43333564	-0.00068220
-316.40000231	-0.00066822
-316.36666898	-0.00041932
-316.33333564	-0.00075834
-316.30000231	-0.00068959
-316.26666898	-0.00105519
-316.23333564	-0.00109678
-316.20000231	-0.00037658
-316.16666897	-0.00048340
-316.13333564	-0.00073650
-316.10000231	-0.00061817
-316.06666897	-0.00067004
-316.03333564	-0.00078900
-316.00000231	-0.00118463
-315.96666897	-0.00098067
-315.93333564	-0.00087362
-315.90000231	-0.00072979
-315.86666897	-0.00113199
-315.83333564	-0.00102297
-315.80000231	-0.00059170
-315.76666897	-0.00097567
-315.73333564	-0.00072226
-315.70000231	-0.00078428
-315.66666897	-0.00066469
-315.63333564	-0.00058234
-315.60000230	-0.00077753
-315.56666897	-0.00038838
-315.53333564	-0.00083929
-315.50000230	-0.00098165
-315.46666897	-0.00053102
-315.43333564	-0.00073439
-315.40000230	-0.00086063
-315.36666897	-0.00065640
-315.33333564	-0.00040441
-315.30000230	-0.00040023
-315.26666897	-0.00052277
-315.23333564	-0.00042263
-315.20000230	-0.00033001
-315.16666897	-0.00051550
-315.13333564	-0.00045430
-315.10000230	-0.00038077
-315.06666897	-0.00076111
-315.03333563	-0.00060943
-315.00000230	-0.00053303
-314.96666897	-0.00025400
-314.93333563	-0.00065267
-314.90000230	-0.00036707
-314.86666897	-0.00038855
-314.83333563	-0.00024798
-314.80000230	-0.00064874
-314.76666897	-0.00021751
-314.73333563	-0.00081303
-314.70000230	-0.00041408
-314.66666897	0.00005287
-314.63333563	-0.00037538
-314.60000230	-0.00042673
-314.56666897	-0.00055950
-314.53333563	-0.00056649
-314.50000230	-0.00029975
-314.46666896	-0.00011748
-314.43333563	-0.00053510
-314.40000230	-0.00047833
-314.36666896	-0.00005481
-314.33333563	-0.00023970
-314.30000230	-0.00027127
-314.26666896	-0.00048581
-314.23333563	-0.00042739
-314.20000230	-0.00020581
-314.16666896	-0.00019138
-314.13333563	-0.00020637
-314.10000230	-0.00029065
-314.06666896	0.00013384
-314.03333563	-0.00014297
-314.00000230	-0.00013864
