# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -320.00000000 ps, Average over 1 waveforms. Timestamp: 2021-12-07T14:27:38
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-320.00000435	-0.00106435
-319.96667101	0.00040703
-319.93333768	0.00085471
-319.90000434	0.00037692
-319.86667101	0.00043919
-319.83333768	-0.00098635
-319.80000434	0.00106549
-319.76667101	0.00054362
-319.73333768	0.00086670
-319.70000434	0.00105195
-319.66667101	-0.00106676
-319.63333767	0.00158961
-319.60000434	0.00000241
-319.56667101	-0.00179094
-319.53333767	0.00004580
-319.50000434	0.00061761
-319.46667101	0.00109815
-319.43333767	0.00036697
-319.40000434	-0.00042735
-319.36667101	-0.00092829
-319.33333767	-0.00249882
-319.30000434	-0.00015827
-319.26667100	-0.00006888
-319.23333767	-0.00057138
-319.20000434	0.00109639
-319.16667100	-0.00066378
-319.13333767	0.00054478
-319.10000434	-0.00170014
-319.06667100	0.00095798
-319.03333767	-0.00044170
-319.00000433	-0.00058726
-318.96667100	-0.00058843
-318.93333767	-0.00098642
-318.90000433	-0.00115851
-318.86667100	0.00013779
-318.83333767	-0.00128915
-318.80000433	-0.00219428
-318.76667100	-0.00189318
-318.73333767	0.00093827
-318.70000433	-0.00152068
-318.66667100	0.00005405
-318.63333766	0.00165026
-318.60000433	-0.00065838
-318.56667100	-0.00186673
-318.53333766	-0.00057549
-318.50000433	-0.00042466
-318.46667100	-0.00010793
-318.43333766	-0.00056743
-318.40000433	-0.00186930
-318.36667099	0.00037608
-318.33333766	-0.00090834
-318.30000433	-0.00226028
-318.26667099	0.00150328
-318.23333766	0.00013439
-318.20000433	0.00021611
-318.16667099	0.00126191
-318.13333766	-0.00132225
-318.10000432	-0.00212123
-318.06667099	0.00024847
-318.03333766	0.00148716
-318.00000432	-0.00020106
-317.96667099	-0.00058249
-317.93333766	-0.00033966
-317.90000432	-0.00084572
-317.86667099	0.00109688
-317.83333766	-0.00050314
-317.80000432	0.00172486
-317.76667099	0.00115837
-317.73333765	0.00093820
-317.70000432	0.00085953
-317.66667099	0.00070656
-317.63333765	-0.00009010
-317.60000432	-0.00153950
-317.56667099	0.00028636
-317.53333765	0.00037385
-317.50000432	0.00014728
-317.46667098	-0.00041959
-317.43333765	0.00139707
-317.40000432	0.00109649
-317.36667098	0.00189828
-317.33333765	0.00034531
-317.30000432	-0.00077319
-317.26667098	-0.00098899
-317.23333765	0.00037013
-317.20000432	-0.00186833
-317.16667098	0.00012062
-317.13333765	-0.00059261
-317.10000431	0.00181201
-317.06667098	0.00093792
-317.03333765	0.00053658
-317.00000431	0.00005255
-316.96667098	-0.00026247
-316.93333765	0.00030688
-316.90000431	0.00116173
-316.86667098	0.00089861
-316.83333764	-0.00002281
-316.80000431	0.00077771
-316.76667098	-0.00008897
-316.73333764	-0.00091728
-316.70000431	0.00113512
-316.66667098	0.00117445
-316.63333764	0.00101174
-316.60000431	-0.00008470
-316.56667097	0.00037150
-316.53333764	-0.00021350
-316.50000431	-0.00130124
-316.46667097	0.00052549
-316.43333764	0.00011025
-316.40000431	-0.00058205
-316.36667097	0.00083612
-316.33333764	0.00128173
-316.30000431	0.00030131
-316.26667097	0.00028918
-316.23333764	-0.00060064
-316.20000430	-0.00042444
-316.16667097	-0.00043115
-316.13333764	0.00085541
-316.10000430	-0.00057502
-316.06667097	0.00024809
-316.03333764	0.00062774
-316.00000430	-0.00002141
-315.96667097	0.00022133
-315.93333763	0.00002830
-315.90000430	-0.00087450
-315.86667097	0.00053646
-315.83333763	-0.00107365
-315.80000430	0.00077881
-315.76667097	-0.00152643
-315.73333763	-0.00027539
-315.70000430	0.00046672
-315.66667097	0.00053744
-315.63333763	0.00020716
-315.60000430	-0.00074966
-315.56667096	0.00000456
-315.53333763	0.00149376
-315.50000430	0.00011781
-315.46667096	-0.00079510
-315.43333763	0.00134067
-315.40000430	-0.00068965
-315.36667096	-0.00032556
-315.33333763	0.00053229
-315.30000429	-0.00117496
-315.26667096	-0.00043518
-315.23333763	0.00125962
-315.20000429	-0.00030339
-315.16667096	0.00009739
-315.13333763	0.00213586
-315.10000429	-0.00009965
-315.06667096	0.00182370
-315.03333762	0.00303190
-315.00000429	0.00165724
-314.96667096	0.00038566
-314.93333762	0.00091266
-314.90000429	0.00342105
-314.86667096	0.00164060
-314.83333762	0.00278302
-314.80000429	0.00126147
-314.76667096	0.00138897
-314.73333762	0.00204990
-314.70000429	-0.00125303
-314.66667095	-0.00192936
-314.63333762	0.00043444
-314.60000429	0.00020067
-314.56667095	-0.00151004
-314.53333762	-0.00112134
-314.50000429	0.00194937
-314.46667095	0.00127695
-314.43333762	-0.00078847
-314.40000428	-0.00090990
-314.36667095	0.00052677
-314.33333762	-0.00113348
-314.30000428	0.00126200
-314.26667095	0.00066891
-314.23333762	-0.00048993
-314.20000428	-0.00058480
-314.16667095	0.00134371
-314.13333762	-0.00009188
-314.10000428	0.00164287
-314.06667095	-0.00074883
-314.03333761	0.00013635
-314.00000428	-0.00115104
-313.96667095	0.00004907
-313.93333761	-0.00020134
-313.90000428	0.00126774
-313.86667095	0.00189369
-313.83333761	0.00099649
-313.80000428	0.00019548
-313.76667094	-0.00060875
-313.73333761	-0.00083381
-313.70000428	0.00044351
-313.66667094	0.00088778
-313.63333761	-0.00017198
-313.60000428	-0.00090631
-313.56667094	-0.00025466
-313.53333761	-0.00049927
-313.50000427	0.00028155
-313.46667094	0.00068599
-313.43333761	-0.00031342
-313.40000427	-0.00055125
-313.36667094	0.00140702
-313.33333761	-0.00035366
-313.30000427	-0.00065718
-313.26667094	0.00124969
-313.23333761	-0.00034649
-313.20000427	0.00160805
-313.16667094	0.00193097
-313.13333760	0.00134466
-313.10000427	0.00157936
-313.06667094	0.00117583
-313.03333760	0.00108192
-313.00000427	0.00018829
-312.96667094	-0.00066478
-312.93333760	0.00011686
-312.90000427	0.00171451
-312.86667093	0.00136931
-312.83333760	0.00111945
-312.80000427	0.00037670
-312.76667093	0.00102409
-312.73333760	0.00031262
-312.70000427	-0.00098934
-312.66667093	-0.00035728
-312.63333760	0.00026856
-312.60000427	0.00070382
-312.56667093	-0.00017705
-312.53333760	-0.00082726
-312.50000426	-0.00073368
-312.46667093	0.00004510
-312.43333760	0.00134107
-312.40000426	0.00137317
-312.36667093	0.00404869
-312.33333760	0.00216950
-312.30000426	-0.00028618
-312.26667093	0.00200817
-312.23333759	0.00124038
-312.20000426	0.00230166
-312.16667093	0.00318095
-312.13333759	0.00092434
-312.10000426	0.00104096
-312.06667093	0.00252204
-312.03333759	0.00178097
-312.00000426	0.00017128
-311.96667092	-0.00040146
-311.93333759	0.00090151
-311.90000426	0.00156890
-311.86667092	0.00199108
-311.83333759	0.00013996
-311.80000426	0.00133417
-311.76667092	-0.00011101
-311.73333759	-0.00178058
-311.70000426	-0.00056144
-311.66667092	0.00185185
-311.63333759	0.00070502
-311.60000425	-0.00132928
-311.56667092	-0.00123424
-311.53333759	-0.00101956
-311.50000425	0.00005223
-311.46667092	-0.00089983
-311.43333759	-0.00079381
-311.40000425	-0.00018418
-311.36667092	-0.00041587
-311.33333758	0.00045822
-311.30000425	-0.00041437
-311.26667092	-0.00090973
-311.23333758	-0.00028282
-311.20000425	-0.00034577
-311.16667092	-0.00070694
-311.13333758	0.00044830
-311.10000425	-0.00106961
-311.06667092	-0.00019199
-311.03333758	-0.00061322
-311.00000425	-0.00213535
-310.96667091	0.00011636
-310.93333758	0.00056332
-310.90000425	0.00175075
-310.86667091	-0.00110552
-310.83333758	0.00040002
-310.80000425	0.00196964
-310.76667091	0.00170855
-310.73333758	-0.00016459
-310.70000424	-0.00118225
-310.66667091	0.00030292
