# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -320.00000000 ps, Average over 1 waveforms. Timestamp: 2021-08-18T14:35:13
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-320.00000120	-0.00041791
-319.96666787	-0.00178911
-319.93333453	0.00017502
-319.90000120	0.00037289
-319.86666787	-0.00137394
-319.83333453	-0.00252190
-319.80000120	0.00055735
-319.76666787	0.00111965
-319.73333453	-0.00050250
-319.70000120	-0.00049197
-319.66666787	-0.00049536
-319.63333453	0.00197123
-319.60000120	-0.00198449
-319.56666787	-0.00071368
-319.53333453	0.00134277
-319.50000120	-0.00026847
-319.46666787	0.00015301
-319.43333453	0.00030219
-319.40000120	0.00038095
-319.36666787	0.00031003
-319.33333453	0.00063304
-319.30000120	-0.00011003
-319.26666787	0.00101580
-319.23333453	-0.00073806
-319.20000120	0.00126202
-319.16666787	0.00040296
-319.13333453	-0.00031230
-319.10000120	0.00166302
-319.06666786	0.00005781
-319.03333453	0.00223019
-319.00000120	-0.00025567
-318.96666786	0.00142005
-318.93333453	-0.00144864
-318.90000120	-0.00129394
-318.86666786	-0.00118683
-318.83333453	0.00022187
-318.80000120	-0.00130569
-318.76666786	0.00099940
-318.73333453	0.00078625
-318.70000120	0.00037987
-318.66666786	-0.00097534
-318.63333453	0.00071397
-318.60000120	-0.00003237
-318.56666786	0.00033339
-318.53333453	0.00191556
-318.50000120	0.00015216
-318.46666786	0.00134638
-318.43333453	0.00030253
-318.40000120	0.00118484
-318.36666786	-0.00057064
-318.33333453	0.00030847
-318.30000120	-0.00058057
-318.26666786	-0.00019068
-318.23333453	0.00062668
-318.20000120	-0.00025126
-318.16666786	-0.00058008
-318.13333453	-0.00042882
-318.10000120	-0.00002913
-318.06666786	-0.00281173
-318.03333453	0.00018745
-318.00000119	-0.00203513
-317.96666786	-0.00350056
-317.93333453	-0.00014902
-317.90000119	0.00047926
-317.86666786	-0.00177517
-317.83333453	-0.00097672
-317.80000119	0.00041080
-317.76666786	0.00021957
-317.73333453	-0.00099454
-317.70000119	-0.00302913
-317.66666786	0.00038686
-317.63333453	-0.00089683
-317.60000119	0.00036789
-317.56666786	0.00119687
-317.53333453	-0.00035013
-317.50000119	-0.00042765
-317.46666786	-0.00186394
-317.43333453	0.00055211
-317.40000119	-0.00218047
-317.36666786	0.00085331
-317.33333453	-0.00086742
-317.30000119	-0.00161894
-317.26666786	0.00039984
-317.23333453	-0.00041873
-317.20000119	-0.00026943
-317.16666786	-0.00001122
-317.13333453	-0.00050841
-317.10000119	-0.00121338
-317.06666786	-0.00097756
-317.03333453	-0.00026442
-317.00000119	-0.00104053
-316.96666786	0.00001962
-316.93333453	-0.00217753
-316.90000119	0.00065460
-316.86666786	0.00015257
-316.83333452	0.00038981
-316.80000119	-0.00081933
-316.76666786	0.00054307
-316.73333452	-0.00105085
-316.70000119	-0.00113215
-316.66666786	-0.00069934
-316.63333452	-0.00277477
-316.60000119	-0.00224530
-316.56666786	-0.00049118
-316.53333452	-0.00001710
-316.50000119	-0.00009561
-316.46666786	-0.00089482
-316.43333452	0.00034827
-316.40000119	0.00059358
-316.36666786	-0.00172930
-316.33333452	0.00158390
-316.30000119	-0.00023112
-316.26666786	-0.00096439
-316.23333452	-0.00186084
-316.20000119	-0.00133661
-316.16666786	-0.00009097
-316.13333452	-0.00033736
-316.10000119	-0.00002401
-316.06666786	0.00038589
-316.03333452	0.00106292
-316.00000119	-0.00146171
-315.96666786	-0.00010213
-315.93333452	-0.00121952
-315.90000119	0.00015689
-315.86666786	-0.00148086
-315.83333452	-0.00356593
-315.80000119	-0.00067243
-315.76666785	-0.00122275
-315.73333452	-0.00096961
-315.70000119	-0.00224949
-315.66666785	-0.00186113
-315.63333452	-0.00033658
-315.60000119	-0.00151619
-315.56666785	-0.00116022
-315.53333452	0.00068934
-315.50000119	0.00142558
-315.46666785	-0.00082537
-315.43333452	-0.00184350
-315.40000119	0.00119644
-315.36666785	-0.00372960
-315.33333452	-0.00244796
-315.30000119	-0.00024017
-315.26666785	0.00078267
-315.23333452	0.00014251
-315.20000119	0.00014820
-315.16666785	-0.00123599
-315.13333452	0.00234828
-315.10000119	0.00040866
-315.06666785	-0.00105334
-315.03333452	-0.00065853
-315.00000119	-0.00089175
-314.96666785	-0.00053752
-314.93333452	0.00190992
-314.90000119	0.00087241
-314.86666785	0.00071203
-314.83333452	0.00069651
-314.80000119	-0.00064836
-314.76666785	-0.00121724
-314.73333452	-0.00097650
-314.70000119	-0.00057732
-314.66666785	-0.00040379
-314.63333452	0.00086386
-314.60000118	-0.00009653
-314.56666785	0.00102260
-314.53333452	-0.00006703
-314.50000118	-0.00021563
-314.46666785	0.00046011
-314.43333452	-0.00002182
-314.40000118	0.00110485
-314.36666785	0.00015050
-314.33333452	0.00035781
-314.30000118	-0.00090598
-314.26666785	-0.00004409
-314.23333452	0.00080906
-314.20000118	-0.00059052
-314.16666785	-0.00063275
-314.13333452	0.00077350
-314.10000118	-0.00001047
-314.06666785	-0.00130535
-314.03333452	0.00110400
-314.00000118	-0.00104119
-313.96666785	0.00052295
-313.93333452	0.00093131
-313.90000118	0.00302503
-313.86666785	0.00069545
-313.83333452	-0.00041605
-313.80000118	-0.00018768
-313.76666785	-0.00186637
-313.73333452	-0.00122714
-313.70000118	-0.00134594
-313.66666785	0.00070555
-313.63333452	-0.00115164
-313.60000118	-0.00089332
-313.56666785	0.00006543
-313.53333451	0.00104440
-313.50000118	-0.00098320
-313.46666785	0.00172627
-313.43333451	0.00025768
-313.40000118	0.00031840
-313.36666785	0.00102872
-313.33333451	0.00038379
-313.30000118	-0.00226956
-313.26666785	0.00114852
-313.23333451	-0.00036389
-313.20000118	-0.00070869
-313.16666785	0.00053023
-313.13333451	0.00053789
-313.10000118	0.00062152
-313.06666785	0.00127713
-313.03333451	0.00006312
-313.00000118	0.00083225
-312.96666785	-0.00131024
-312.93333451	-0.00049945
-312.90000118	-0.00115867
-312.86666785	0.00100780
-312.83333451	0.00108310
-312.80000118	0.00005421
-312.76666785	0.00117320
-312.73333451	-0.00184147
-312.70000118	-0.00169875
-312.66666785	-0.00153833
-312.63333451	-0.00091972
-312.60000118	0.00045839
-312.56666785	-0.00222034
-312.53333451	-0.00180323
-312.50000118	-0.00001562
-312.46666784	0.00029828
-312.43333451	-0.00036789
-312.40000118	-0.00090577
-312.36666784	0.00067070
-312.33333451	-0.00044912
-312.30000118	-0.00192262
-312.26666784	-0.00025573
-312.23333451	-0.00154779
-312.20000118	0.00116517
-312.16666784	0.00014160
-312.13333451	0.00072402
-312.10000118	0.00137329
-312.06666784	-0.00027587
-312.03333451	-0.00072865
-312.00000118	0.00038978
-311.96666784	0.00013852
-311.93333451	-0.00014139
-311.90000118	-0.00073365
-311.86666784	0.00022884
-311.83333451	-0.00129808
-311.80000118	-0.00138290
-311.76666784	0.00124530
-311.73333451	0.00118311
-311.70000118	0.00129762
-311.66666784	-0.00108059
-311.63333451	-0.00073605
-311.60000118	-0.00105843
-311.56666784	0.00002578
-311.53333451	0.00115805
-311.50000118	-0.00146325
-311.46666784	-0.00073777
-311.43333451	-0.00156820
-311.40000118	0.00093332
-311.36666784	0.00118592
-311.33333451	0.00306416
-311.30000117	-0.00318365
-311.26666784	0.00217327
-311.23333451	0.00028508
-311.20000117	-0.00132471
-311.16666784	0.00094782
-311.13333451	-0.00072010
-311.10000117	-0.00080800
-311.06666784	0.00093063
-311.03333451	0.00039714
-311.00000117	0.00078469
-310.96666784	-0.00016677
-310.93333451	-0.00130136
-310.90000117	-0.00067361
-310.86666784	0.00003542
-310.83333451	0.00077498
-310.80000117	-0.00041068
-310.76666784	0.00006784
-310.73333451	-0.00074088
-310.70000117	-0.00008866
-310.66666784	-0.00057326
-310.63333451	-0.00041368
-310.60000117	0.00054899
-310.56666784	0.00012387
-310.53333451	-0.00017811
-310.50000117	0.00004946
-310.46666784	0.00006021
-310.43333451	0.00024673
-310.40000117	0.00162028
-310.36666784	-0.00134275
-310.33333451	-0.00029131
-310.30000117	-0.00064462
-310.26666784	-0.00241358
-310.23333450	-0.00147257
-310.20000117	-0.00066221
-310.16666784	-0.00049583
-310.13333450	-0.00112951
-310.10000117	-0.00147083
-310.06666784	0.00017182
-310.03333450	-0.00107298
-310.00000117	-0.00291316
-309.96666784	-0.00047006
-309.93333450	-0.00002126
-309.90000117	0.00029810
-309.86666784	-0.00074634
-309.83333450	-0.00089833
-309.80000117	0.00044352
-309.76666784	0.00056544
-309.73333450	-0.00137402
-309.70000117	0.00053218
-309.66666784	0.00109846
-309.63333450	-0.00121063
-309.60000117	-0.00005185
-309.56666784	0.00054964
-309.53333450	0.00055618
-309.50000117	-0.00062493
-309.46666784	0.00127958
-309.43333450	-0.00144394
-309.40000117	-0.00128040
-309.36666784	-0.00330438
-309.33333450	-0.00094494
-309.30000117	0.00127758
-309.26666784	0.00143935
-309.23333450	0.00147552
-309.20000117	-0.00120099
-309.16666784	-0.00167619
-309.13333450	0.00068820
-309.10000117	0.00051752
-309.06666783	-0.00059054
-309.03333450	0.00069053
-309.00000117	-0.00263546
-308.96666783	-0.00209935
-308.93333450	-0.00337839
-308.90000117	-0.00241128
-308.86666783	-0.00499571
-308.83333450	-0.00606018
-308.80000117	-0.00747194
-308.76666783	-0.00570260
-308.73333450	-0.00662445
-308.70000117	-0.00300097
-308.66666783	-0.00451234
-308.63333450	-0.00418165
-308.60000117	-0.00533144
-308.56666783	-0.00561996
-308.53333450	-0.00562608
-308.50000117	-0.00441941
-308.46666783	-0.00523821
-308.43333450	-0.00519322
-308.40000117	-0.00379665
-308.36666783	-0.00308713
-308.33333450	-0.00057876
-308.30000117	-0.00185764
-308.26666783	0.00103019
-308.23333450	-0.00017123
-308.20000117	0.00215629
-308.16666783	0.00120069
-308.13333450	0.00364710
-308.10000117	0.00244970
-308.06666783	0.00455685
-308.03333450	0.00188057
-308.00000116	0.00461722
-307.96666783	0.00597176
-307.93333450	0.00416327
-307.90000116	0.00253707
-307.86666783	0.00345640
-307.83333450	0.00359890
-307.80000116	-0.00021594
-307.76666783	-0.00121682
-307.73333450	-0.00033809
-307.70000116	0.00188421
-307.66666783	0.00275295
-307.63333450	-0.00081636
-307.60000116	0.00227388
-307.56666783	0.00010659
-307.53333450	0.00142399
-307.50000116	-0.00017231
-307.46666783	0.00094204
-307.43333450	-0.00008900
-307.40000116	0.00159364
-307.36666783	-0.00034283
-307.33333450	-0.00045741
-307.30000116	0.00052983
-307.26666783	-0.00186095
-307.23333450	0.00123502
-307.20000116	-0.00027819
-307.16666783	0.00085888
-307.13333450	0.00187258
-307.10000116	-0.00045254
-307.06666783	-0.00146105
-307.03333450	-0.00007624
-307.00000116	0.00126049
-306.96666783	-0.00024896
-306.93333449	0.00063432
-306.90000116	-0.00007983
-306.86666783	-0.00128383
-306.83333449	0.00038095
-306.80000116	-0.00101717
-306.76666783	-0.00066582
-306.73333449	0.00038018
-306.70000116	-0.00065111
-306.66666783	-0.00005994
-306.63333449	0.00159793
-306.60000116	-0.00099069
-306.56666783	-0.00016396
-306.53333449	-0.00065779
-306.50000116	0.00105907
-306.46666783	0.00095433
-306.43333449	-0.00027416
-306.40000116	-0.00156439
-306.36666783	0.00069101
-306.33333449	-0.00033479
-306.30000116	-0.00202411
-306.26666783	-0.00075882
-306.23333449	0.00014092
-306.20000116	-0.00009515
-306.16666783	0.00075399
