# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -320.00000000 ps, Average over 5 waveforms. Timestamp: 2021-08-03T15:30:36
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-320.00000192	0.00047340
-319.96666858	0.00052805
-319.93333525	0.00048060
-319.90000192	-0.00001582
-319.86666858	0.00073969
-319.83333525	0.00052772
-319.80000191	-0.00077356
-319.76666858	0.00019900
-319.73333525	-0.00012579
-319.70000191	0.00010134
-319.66666858	0.00003487
-319.63333525	0.00092543
-319.60000191	0.00057995
-319.56666858	-0.00020783
-319.53333525	0.00086561
-319.50000191	0.00074013
-319.46666858	-0.00063283
-319.43333525	-0.00015334
-319.40000191	-0.00084881
-319.36666858	-0.00066048
-319.33333525	0.00021869
-319.30000191	0.00023322
-319.26666858	-0.00068274
-319.23333525	0.00020032
-319.20000191	0.00018921
-319.16666858	-0.00090444
-319.13333524	-0.00100910
-319.10000191	-0.00070349
-319.06666858	-0.00031902
-319.03333524	-0.00097342
-319.00000191	-0.00030844
-318.96666858	-0.00051237
-318.93333524	-0.00119547
-318.90000191	-0.00014680
-318.86666858	-0.00013410
-318.83333524	-0.00078276
-318.80000191	-0.00067806
-318.76666858	0.00071529
-318.73333524	-0.00057453
-318.70000191	-0.00003355
-318.66666858	-0.00031855
-318.63333524	-0.00012092
-318.60000191	-0.00034654
-318.56666858	-0.00011156
-318.53333524	-0.00032658
-318.50000191	0.00055639
-318.46666858	0.00034867
-318.43333524	-0.00026072
-318.40000191	-0.00062707
-318.36666857	0.00096231
-318.33333524	0.00077175
-318.30000191	-0.00013613
-318.26666857	0.00091011
-318.23333524	0.00015763
-318.20000191	-0.00043116
-318.16666857	-0.00015098
-318.13333524	-0.00021579
-318.10000191	-0.00036226
-318.06666857	-0.00009490
-318.03333524	0.00078950
-318.00000191	0.00046669
-317.96666857	-0.00047687
-317.93333524	-0.00014943
-317.90000191	-0.00032411
-317.86666857	0.00009664
-317.83333524	0.00047265
-317.80000191	0.00020693
-317.76666857	-0.00033769
-317.73333524	0.00029559
-317.70000190	0.00116917
-317.66666857	0.00117981
-317.63333524	0.00084104
-317.60000190	0.00131004
-317.56666857	0.00080868
-317.53333524	0.00085143
-317.50000190	0.00005923
-317.46666857	-0.00010317
-317.43333524	0.00053244
-317.40000190	0.00112000
-317.36666857	0.00099964
-317.33333524	0.00096420
-317.30000190	-0.00028235
-317.26666857	0.00089814
-317.23333524	0.00020007
-317.20000190	0.00151158
-317.16666857	0.00023643
-317.13333524	0.00115903
-317.10000190	0.00114988
-317.06666857	0.00058501
-317.03333523	0.00034561
-317.00000190	0.00024790
-316.96666857	0.00087009
