# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -320.00000000 ps, Average over 1 waveforms. Timestamp: 2021-12-07T14:28:00
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-320.00000435	0.00037603
-319.96667101	0.00104459
-319.93333768	-0.00083310
-319.90000434	-0.00015779
-319.86667101	0.00023389
-319.83333768	0.00117650
-319.80000434	-0.00008341
-319.76667101	-0.00010078
-319.73333768	0.00068043
-319.70000434	-0.00098658
-319.66667101	-0.00083760
-319.63333767	-0.00043251
-319.60000434	0.00053696
-319.56667101	0.00027815
-319.53333767	0.00134570
-319.50000434	-0.00034524
-319.46667101	0.00085326
-319.43333767	-0.00211787
-319.40000434	-0.00073029
-319.36667101	-0.00098805
-319.33333767	-0.00033402
-319.30000434	0.00011243
-319.26667100	0.00101751
-319.23333767	-0.00020378
-319.20000434	-0.00130690
-319.16667100	-0.00082607
-319.13333767	-0.00028395
-319.10000434	0.00207731
-319.06667100	0.00083516
-319.03333767	-0.00007928
-319.00000433	-0.00035188
-318.96667100	0.00121293
-318.93333767	0.00310124
-318.90000433	0.00039256
-318.86667100	-0.00098700
-318.83333767	-0.00097617
-318.80000433	-0.00001602
-318.76667100	0.00142681
-318.73333767	-0.00026604
-318.70000433	0.00121200
-318.66667100	0.00166487
-318.63333766	0.00005220
-318.60000433	0.00129261
-318.56667100	0.00126421
-318.53333766	0.00006352
-318.50000433	0.00213921
-318.46667100	-0.00031318
-318.43333766	0.00027826
-318.40000433	0.00165728
-318.36667099	-0.00138987
-318.33333766	0.00104081
-318.30000433	0.00058066
-318.26667099	-0.00146533
-318.23333766	0.00048640
-318.20000433	0.00064550
-318.16667099	-0.00060151
-318.13333766	-0.00031765
-318.10000432	0.00066806
-318.06667099	-0.00225515
-318.03333766	0.00270413
-318.00000432	0.00062469
-317.96667099	0.00046783
-317.93333766	-0.00138607
-317.90000432	0.00064841
-317.86667099	0.00069698
-317.83333766	0.00128375
-317.80000432	-0.00114515
-317.76667099	0.00126290
-317.73333765	0.00041724
-317.70000432	0.00043468
-317.66667099	0.00125416
-317.63333765	0.00159433
-317.60000432	0.00021489
-317.56667099	-0.00035536
-317.53333765	-0.00058605
-317.50000432	0.00005136
-317.46667098	-0.00090072
-317.43333765	-0.00052753
-317.40000432	-0.00056716
-317.36667098	-0.00107431
-317.33333765	0.00037600
-317.30000432	-0.00027460
-317.26667098	-0.00092364
-317.23333765	-0.00083201
-317.20000432	0.00292979
-317.16667098	0.00199172
-317.13333765	0.00061598
-317.10000431	0.00117648
-317.06667098	-0.00002959
-317.03333765	-0.00018056
-317.00000431	0.00061489
-316.96667098	-0.00026519
-316.93333765	0.00037579
-316.90000431	-0.00074250
-316.86667098	-0.00027675
-316.83333764	0.00099842
-316.80000431	0.00123219
-316.76667098	0.00022669
-316.73333764	0.00213927
-316.70000431	0.00055554
-316.66667098	-0.00017476
-316.63333764	0.00117409
-316.60000431	0.00270127
-316.56667097	0.00082221
-316.53333764	0.00021539
-316.50000431	-0.00029779
-316.46667097	-0.00106120
-316.43333764	0.00030242
-316.40000431	-0.00066770
-316.36667097	0.00004430
-316.33333764	-0.00018492
-316.30000431	0.00010198
-316.26667097	0.00086917
-316.23333764	-0.00114856
-316.20000430	-0.00009165
-316.16667097	-0.00060473
-316.13333764	-0.00066588
-316.10000430	-0.00052916
-316.06667097	0.00034571
-316.03333764	0.00070163
-316.00000430	-0.00006031
-315.96667097	-0.00132023
-315.93333763	-0.00043780
-315.90000430	0.00082819
-315.86667097	-0.00121579
-315.83333763	-0.00051645
-315.80000430	0.00087041
-315.76667097	0.00126464
-315.73333763	0.00004836
-315.70000430	0.00189181
-315.66667097	-0.00057895
-315.63333763	-0.00107377
-315.60000430	-0.00169700
-315.56667096	-0.00134165
-315.53333763	0.00009749
-315.50000430	0.00005071
-315.46667096	-0.00146035
-315.43333763	-0.00073865
-315.40000430	0.00173566
-315.36667096	-0.00010747
-315.33333763	0.00156402
-315.30000429	0.00128749
-315.26667096	0.00024634
-315.23333763	-0.00018000
-315.20000429	-0.00050582
-315.16667096	0.00020695
-315.13333763	0.00123533
-315.10000429	-0.00058523
-315.06667096	0.00094895
-315.03333762	-0.00042893
-315.00000429	-0.00031410
-314.96667096	0.00094388
-314.93333762	-0.00115330
-314.90000429	-0.00001122
-314.86667096	-0.00058524
-314.83333762	0.00086012
-314.80000429	-0.00072829
-314.76667096	-0.00112401
-314.73333762	0.00028604
-314.70000429	-0.00042502
-314.66667095	0.00092278
-314.63333762	0.00165716
-314.60000429	0.00092769
-314.56667095	0.00061833
-314.53333762	0.00094798
-314.50000429	0.00071320
-314.46667095	-0.00094603
-314.43333762	-0.00050542
-314.40000428	-0.00058618
-314.36667095	-0.00066703
-314.33333762	-0.00098749
-314.30000428	-0.00032428
-314.26667095	0.00174720
-314.23333762	0.00113553
-314.20000428	0.00070818
-314.16667095	0.00037496
-314.13333762	0.00037583
-314.10000428	0.00019895
-314.06667095	-0.00028818
-314.03333761	-0.00048911
-314.00000428	0.00028630
-313.96667095	0.00006936
-313.93333761	0.00031391
-313.90000428	0.00165507
-313.86667095	-0.00066255
-313.83333761	0.00130131
-313.80000428	0.00067322
-313.76667094	0.00013642
-313.73333761	0.00014769
-313.70000428	-0.00094083
-313.66667094	0.00115921
-313.63333761	-0.00266125
-313.60000428	0.00067486
-313.56667094	0.00026421
-313.53333761	0.00105643
-313.50000427	0.00182703
-313.46667094	0.00182720
-313.43333761	0.00029083
-313.40000427	0.00138534
-313.36667094	-0.00142140
-313.33333761	-0.00042738
-313.30000427	0.00037440
-313.26667094	0.00023407
-313.23333761	0.00102529
-313.20000427	0.00032134
-313.16667094	-0.00106316
-313.13333760	0.00242600
-313.10000427	0.00046597
-313.06667094	-0.00000943
-313.03333760	0.00101733
-313.00000427	0.00065202
-312.96667094	0.00156222
-312.93333760	-0.00080816
-312.90000427	0.00060545
-312.86667093	0.00019918
-312.83333760	-0.00052828
-312.80000427	0.00076695
-312.76667093	0.00030359
-312.73333760	0.00081209
-312.70000427	-0.00074510
-312.66667093	0.00061900
-312.63333760	-0.00094117
-312.60000427	-0.00026035
-312.56667093	0.00268789
-312.53333760	0.00065326
-312.50000426	0.00036645
-312.46667093	0.00250841
-312.43333760	0.00151654
-312.40000426	-0.00035074
-312.36667093	0.00276450
-312.33333760	0.00231782
-312.30000426	-0.00049698
-312.26667093	0.00308740
-312.23333759	0.00051220
-312.20000426	0.00031826
-312.16667093	0.00044578
-312.13333759	0.00022540
-312.10000426	0.00129084
-312.06667093	0.00221532
-312.03333759	0.00202643
-312.00000426	0.00317790
-311.96667092	0.00181374
-311.93333759	-0.00031585
-311.90000426	-0.00129990
-311.86667092	0.00045460
-311.83333759	0.00205194
-311.80000426	0.00115344
-311.76667092	-0.00032869
-311.73333759	-0.00003742
-311.70000426	-0.00065213
-311.66667092	0.00126378
-311.63333759	0.00177640
-311.60000425	0.00062396
-311.56667092	0.00226723
-311.53333759	0.00120233
-311.50000425	0.00141756
-311.46667092	0.00073245
-311.43333759	-0.00018234
-311.40000425	0.00130962
-311.36667092	0.00205981
-311.33333758	0.00213910
-311.30000425	0.00164805
-311.26667092	-0.00059276
-311.23333758	-0.00115769
-311.20000425	0.00416074
-311.16667092	0.00047729
-311.13333758	0.00062944
-311.10000425	0.00163998
-311.06667092	-0.00017201
-311.03333758	-0.00053687
-311.00000425	-0.00000574
-310.96667091	-0.00122727
-310.93333758	0.00005812
-310.90000425	-0.00023601
-310.86667091	0.00155077
-310.83333758	-0.00122154
-310.80000425	-0.00041919
-310.76667091	-0.00083852
-310.73333758	0.00082555
-310.70000424	0.00086850
-310.66667091	-0.00090612
-310.63333758	0.00030153
-310.60000424	-0.00025512
-310.56667091	0.00085169
-310.53333758	-0.00072969
-310.50000424	-0.00051047
-310.46667091	0.00031435
-310.43333757	-0.00031026
-310.40000424	0.00200106
-310.36667091	0.00146171
-310.33333757	-0.00037184
-310.30000424	-0.00048799
-310.26667091	0.00022411
-310.23333757	0.00043169
-310.20000424	0.00180313
-310.16667091	0.00127636
-310.13333757	0.00123221
-310.10000424	0.00219701
-310.06667090	0.00077549
-310.03333757	0.00216132
-310.00000424	0.00092818
-309.96667090	-0.00091866
-309.93333757	0.00105254
-309.90000424	0.00034663
-309.86667090	-0.00041551
-309.83333757	0.00110201
-309.80000423	0.00064758
-309.76667090	0.00076542
-309.73333757	0.00215237
-309.70000423	-0.00062304
-309.66667090	-0.00021764
-309.63333757	0.00033229
-309.60000423	0.00133653
-309.56667090	0.00039682
-309.53333757	0.00155529
-309.50000423	-0.00094454
-309.46667090	-0.00057270
-309.43333756	0.00164869
-309.40000423	0.00089886
-309.36667090	-0.00020740
-309.33333756	0.00101656
-309.30000423	0.00016472
-309.26667090	0.00172521
-309.23333756	-0.00050780
-309.20000423	0.00092098
-309.16667089	0.00060624
-309.13333756	0.00157733
-309.10000423	0.00022993
-309.06667089	0.00061369
-309.03333756	-0.00008664
-309.00000423	0.00127070
-308.96667089	0.00046078
-308.93333756	-0.00041988
-308.90000422	0.00021811
-308.86667089	0.00119628
-308.83333756	-0.00091224
-308.80000422	-0.00095954
-308.76667089	0.00109656
-308.73333756	-0.00077728
-308.70000422	0.00005081
-308.66667089	0.00035281
-308.63333756	-0.00074894
-308.60000422	0.00062496
-308.56667089	0.00005903
-308.53333755	0.00094275
-308.50000422	0.00184230
-308.46667089	0.00190835
-308.43333755	-0.00002546
-308.40000422	0.00148806
-308.36667089	0.00037593
-308.33333755	0.00129506
-308.30000422	0.00150411
-308.26667088	0.00093833
-308.23333755	0.00029787
-308.20000422	0.00191672
-308.16667088	0.00363528
-308.13333755	-0.00051135
-308.10000422	0.00150272
-308.06667088	0.00090169
-308.03333755	-0.00002651
-308.00000422	0.00061530
-307.96667088	0.00012671
-307.93333755	-0.00075108
-307.90000421	-0.00006030
-307.86667088	0.00171007
-307.83333755	0.00152347
-307.80000421	0.00005133
