# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -320.00000000 ps, Average over 1 waveforms. Timestamp: 2021-08-18T14:33:50
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-320.00000120	0.00113082
-319.96666787	0.00128334
-319.93333453	0.00038366
-319.90000120	0.00008746
-319.86666787	0.00116845
-319.83333453	-0.00111414
-319.80000120	0.00127175
-319.76666787	-0.00057864
-319.73333453	-0.00104360
-319.70000120	-0.00223254
-319.66666787	-0.00135126
-319.63333453	-0.00223244
-319.60000120	-0.00072649
-319.56666787	0.00088743
-319.53333453	0.00024826
-319.50000120	0.00065120
-319.46666787	0.00001157
-319.43333453	0.00033032
-319.40000120	-0.00151175
-319.36666787	-0.00007025
-319.33333453	-0.00158806
-319.30000120	0.00030718
-319.26666787	0.00041151
-319.23333453	0.00041540
-319.20000120	0.00137491
-319.16666787	0.00120154
-319.13333453	0.00192137
-319.10000120	0.00021176
-319.06666786	-0.00084878
-319.03333453	-0.00223461
-319.00000120	-0.00043762
-318.96666786	0.00023367
-318.93333453	-0.00175374
-318.90000120	-0.00063615
-318.86666786	-0.00002372
-318.83333453	0.00232797
-318.80000120	-0.00116672
-318.76666786	-0.00256887
-318.73333453	-0.00079664
-318.70000120	0.00090700
-318.66666786	0.00058096
-318.63333453	-0.00168257
-318.60000120	-0.00056764
-318.56666786	0.00074813
-318.53333453	-0.00206914
-318.50000120	0.00045919
-318.46666786	-0.00077191
-318.43333453	-0.00055198
-318.40000120	-0.00095373
-318.36666786	0.00023949
-318.33333453	0.00073820
-318.30000120	0.00105816
-318.26666786	0.00105979
-318.23333453	0.00064248
-318.20000120	0.00137193
-318.16666786	0.00112939
-318.13333453	0.00169136
-318.10000120	0.00080422
-318.06666786	-0.00018271
-318.03333453	-0.00078406
-318.00000119	0.00009179
-317.96666786	-0.00132450
-317.93333453	-0.00088327
-317.90000119	0.00017278
-317.86666786	0.00008982
-317.83333453	0.00009471
-317.80000119	-0.00069937
-317.76666786	0.00083403
-317.73333453	0.00109355
-317.70000119	-0.00165776
-317.66666786	-0.00017238
-317.63333453	0.00049560
-317.60000119	-0.00038846
-317.56666786	0.00039714
-317.53333453	0.00050469
-317.50000119	-0.00224020
-317.46666786	-0.00018235
-317.43333453	-0.00069046
-317.40000119	-0.00046955
-317.36666786	-0.00062817
-317.33333453	-0.00086847
-317.30000119	-0.00054757
-317.26666786	-0.00000814
-317.23333453	0.00145475
-317.20000119	0.00042532
-317.16666786	0.00066132
-317.13333453	-0.00037770
-317.10000119	-0.00030830
-317.06666786	-0.00038521
-317.03333453	-0.00046098
-317.00000119	0.00081461
-316.96666786	0.00009077
-316.93333453	0.00127725
-316.90000119	0.00106788
-316.86666786	0.00079885
-316.83333452	-0.00037839
-316.80000119	-0.00014589
-316.76666786	0.00134174
-316.73333452	-0.00182107
-316.70000119	0.00158411
-316.66666786	-0.00005149
-316.63333452	0.00166185
-316.60000119	0.00113067
-316.56666786	0.00131740
-316.53333452	-0.00175163
-316.50000119	0.00152907
-316.46666786	0.00153570
-316.43333452	0.00008560
-316.40000119	-0.00026723
-316.36666786	-0.00189968
-316.33333452	-0.00061837
-316.30000119	-0.00007252
-316.26666786	-0.00087248
-316.23333452	-0.00079409
-316.20000119	0.00041553
-316.16666786	-0.00066717
-316.13333452	-0.00127180
-316.10000119	-0.00096288
-316.06666786	-0.00095043
-316.03333452	-0.00112398
-316.00000119	-0.00024446
-315.96666786	-0.00207210
-315.93333452	-0.00114862
-315.90000119	-0.00325744
-315.86666786	0.00158891
-315.83333452	-0.00080618
-315.80000119	0.00007607
-315.76666785	-0.00039916
-315.73333452	-0.00171349
-315.70000119	-0.00303468
-315.66666785	-0.00016879
-315.63333452	-0.00119271
-315.60000119	-0.00007021
-315.56666785	-0.00122197
-315.53333452	0.00173233
-315.50000119	0.00075570
-315.46666785	-0.00039262
-315.43333452	0.00144945
-315.40000119	-0.00105595
-315.36666785	-0.00075896
-315.33333452	0.00088549
-315.30000119	-0.00005591
-315.26666785	0.00008710
-315.23333452	-0.00038861
-315.20000119	0.00076824
-315.16666785	0.00209359
-315.13333452	0.00086038
-315.10000119	-0.00072388
-315.06666785	-0.00056141
-315.03333452	0.00144405
-315.00000119	-0.00190908
-314.96666785	0.00150653
-314.93333452	0.00013571
-314.90000119	-0.00175252
-314.86666785	0.00023110
-314.83333452	0.00071655
-314.80000119	-0.00079171
-314.76666785	-0.00105574
-314.73333452	0.00081291
-314.70000119	-0.00062665
-314.66666785	-0.00008658
-314.63333452	0.00009076
-314.60000118	0.00082846
-314.56666785	0.00064348
-314.53333452	-0.00116023
-314.50000118	-0.00165460
-314.46666785	0.00025695
-314.43333452	-0.00087099
-314.40000118	0.00075856
-314.36666785	0.00074234
-314.33333452	-0.00022931
-314.30000118	0.00048555
-314.26666785	0.00023297
-314.23333452	0.00320774
-314.20000118	0.00087599
-314.16666785	0.00248521
-314.13333452	0.00065977
-314.10000118	0.00032845
-314.06666785	-0.00039374
-314.03333452	0.00017260
-314.00000118	-0.00045650
-313.96666785	-0.00064994
-313.93333452	0.00015513
-313.90000118	0.00082338
-313.86666785	-0.00206687
-313.83333452	-0.00047892
-313.80000118	0.00003397
-313.76666785	0.00117559
-313.73333452	0.00083132
-313.70000118	-0.00151901
-313.66666785	0.00157995
-313.63333452	0.00061860
-313.60000118	-0.00087358
-313.56666785	-0.00006965
-313.53333451	-0.00089133
-313.50000118	-0.00071048
-313.46666785	-0.00143714
-313.43333451	0.00015308
-313.40000118	-0.00023471
-313.36666785	0.00017088
-313.33333451	-0.00006975
-313.30000118	0.00039341
-313.26666785	0.00056000
-313.23333451	-0.00054073
-313.20000118	0.00087043
-313.16666785	0.00030345
-313.13333451	-0.00047153
-313.10000118	-0.00007149
-313.06666785	-0.00070756
-313.03333451	-0.00079924
-313.00000118	-0.00097439
-312.96666785	0.00072710
-312.93333451	-0.00102504
-312.90000118	-0.00017053
-312.86666785	-0.00016575
-312.83333451	0.00153000
-312.80000118	0.00008041
-312.76666785	0.00169608
-312.73333451	-0.00153133
-312.70000118	-0.00018420
-312.66666785	0.00058099
-312.63333451	0.00230042
-312.60000118	0.00158153
-312.56666785	0.00073326
-312.53333451	0.00073263
-312.50000118	0.00033550
-312.46666784	0.00138798
-312.43333451	-0.00106009
-312.40000118	-0.00024863
-312.36666784	0.00005872
-312.33333451	0.00088910
-312.30000118	0.00033021
-312.26666784	-0.00031297
-312.23333451	-0.00070860
-312.20000118	0.00070564
-312.16666784	0.00265820
-312.13333451	0.00210997
-312.10000118	0.00190112
-312.06666784	0.00000224
-312.03333451	0.00081845
-312.00000118	0.00265184
-311.96666784	0.00162414
-311.93333451	-0.00017335
-311.90000118	0.00017408
-311.86666784	-0.00037395
-311.83333451	-0.00005406
-311.80000118	0.00177223
-311.76666784	0.00049917
-311.73333451	0.00056542
-311.70000118	0.00082880
-311.66666784	0.00142980
-311.63333451	-0.00117919
-311.60000118	0.00143426
-311.56666784	-0.00038301
-311.53333451	0.00137707
-311.50000118	-0.00119929
-311.46666784	0.00088823
-311.43333451	-0.00084188
-311.40000118	-0.00037373
-311.36666784	-0.00034788
-311.33333451	0.00181013
-311.30000117	0.00114453
-311.26666784	0.00072065
-311.23333451	-0.00031858
-311.20000117	0.00129748
-311.16666784	0.00074430
-311.13333451	0.00035871
-311.10000117	-0.00113905
-311.06666784	-0.00111848
-311.03333451	0.00072793
-311.00000117	0.00240019
-310.96666784	0.00201107
-310.93333451	0.00078184
-310.90000117	-0.00039143
-310.86666784	0.00005723
-310.83333451	-0.00135664
-310.80000117	0.00003795
-310.76666784	0.00144475
-310.73333451	0.00081035
-310.70000117	0.00063869
-310.66666784	-0.00062646
-310.63333451	0.00072157
-310.60000117	-0.00071135
-310.56666784	-0.00126526
-310.53333451	0.00149599
-310.50000117	-0.00036658
-310.46666784	-0.00078524
-310.43333451	0.00034899
-310.40000117	0.00127932
-310.36666784	-0.00031957
-310.33333451	0.00050119
-310.30000117	-0.00000787
-310.26666784	-0.00024869
-310.23333450	0.00056488
-310.20000117	0.00046063
-310.16666784	0.00176398
-310.13333450	0.00007763
-310.10000117	0.00047584
-310.06666784	-0.00071587
-310.03333450	0.00227168
-310.00000117	0.00158688
-309.96666784	0.00086937
-309.93333450	-0.00054948
-309.90000117	-0.00022492
-309.86666784	-0.00105307
-309.83333450	0.00156501
-309.80000117	0.00088240
-309.76666784	0.00129149
-309.73333450	0.00089067
-309.70000117	0.00151874
-309.66666784	0.00118557
-309.63333450	-0.00006956
-309.60000117	0.00128144
-309.56666784	0.00082623
-309.53333450	0.00110084
-309.50000117	0.00168835
-309.46666784	0.00099359
-309.43333450	0.00057280
-309.40000117	0.00118569
-309.36666784	0.00272628
-309.33333450	0.00081580
-309.30000117	0.00050424
-309.26666784	-0.00040108
-309.23333450	0.00079696
-309.20000117	0.00202980
-309.16666784	0.00112034
-309.13333450	0.00272964
-309.10000117	0.00043572
-309.06666783	0.00074557
-309.03333450	0.00122695
-309.00000117	0.00025878
-308.96666783	0.00207434
-308.93333450	-0.00063392
-308.90000117	-0.00022897
-308.86666783	-0.00119235
-308.83333450	-0.00023856
-308.80000117	-0.00206539
-308.76666783	-0.00103100
-308.73333450	-0.00245752
-308.70000117	0.00030150
-308.66666783	-0.00039053
-308.63333450	0.00077966
-308.60000117	0.00042355
-308.56666783	0.00001683
-308.53333450	-0.00070646
-308.50000117	0.00022432
-308.46666783	-0.00206171
-308.43333450	0.00071322
-308.40000117	-0.00094737
-308.36666783	-0.00249431
-308.33333450	-0.00041912
-308.30000117	0.00145444
-308.26666783	-0.00025137
-308.23333450	-0.00169354
-308.20000117	0.00092300
-308.16666783	-0.00110443
-308.13333450	-0.00142954
-308.10000117	-0.00015835
-308.06666783	-0.00079093
-308.03333450	0.00026114
-308.00000116	0.00090583
-307.96666783	0.00167352
-307.93333450	-0.00030948
-307.90000116	0.00095510
-307.86666783	-0.00196700
-307.83333450	0.00040835
-307.80000116	0.00107422
-307.76666783	0.00416508
-307.73333450	-0.00079068
-307.70000116	0.00336236
-307.66666783	0.00052563
-307.63333450	0.00034588
-307.60000116	-0.00049501
-307.56666783	-0.00203732
-307.53333450	0.00107504
-307.50000116	0.00000096
-307.46666783	-0.00070759
-307.43333450	-0.00090147
-307.40000116	0.00177937
-307.36666783	-0.00050282
-307.33333450	-0.00040976
-307.30000116	-0.00125200
-307.26666783	-0.00273409
-307.23333450	-0.00003147
-307.20000116	0.00025104
-307.16666783	-0.00103162
-307.13333450	-0.00057165
-307.10000116	-0.00231213
-307.06666783	-0.00056140
-307.03333450	-0.00222530
-307.00000116	-0.00351307
-306.96666783	-0.00352245
-306.93333449	-0.00366338
-306.90000116	-0.00247280
-306.86666783	-0.00378506
-306.83333449	-0.00375754
-306.80000116	-0.00206833
-306.76666783	-0.00367596
-306.73333449	-0.00275617
-306.70000116	-0.00183291
-306.66666783	-0.00285537
-306.63333449	-0.00295269
-306.60000116	-0.00341431
-306.56666783	-0.00159292
-306.53333449	-0.00110786
-306.50000116	-0.00157120
-306.46666783	-0.00181349
-306.43333449	0.00238760
-306.40000116	0.00114021
-306.36666783	0.00071607
-306.33333449	-0.00028235
-306.30000116	0.00200998
-306.26666783	0.00175009
-306.23333449	0.00117250
-306.20000116	0.00393158
-306.16666783	0.00148522
-306.13333449	0.00042379
-306.10000116	0.00345171
-306.06666783	0.00136440
-306.03333449	0.00353936
-306.00000116	0.00129673
-305.96666783	0.00070891
-305.93333449	0.00199488
-305.90000116	0.00257175
-305.86666783	0.00184636
-305.83333449	0.00017342
-305.80000116	0.00183041
-305.76666782	0.00120270
-305.73333449	0.00183009
-305.70000116	0.00179419
-305.66666782	0.00080623
-305.63333449	0.00177243
-305.60000116	0.00049848
-305.56666782	0.00135502
-305.53333449	0.00241800
-305.50000116	0.00024810
-305.46666782	0.00296376
-305.43333449	0.00210177
-305.40000116	0.00144404
-305.36666782	0.00320412
-305.33333449	0.00258981
-305.30000116	0.00176045
-305.26666782	0.00297107
-305.23333449	0.00166236
-305.20000116	0.00177596
-305.16666782	0.00149454
-305.13333449	0.00288402
-305.10000116	0.00039183
-305.06666782	0.00057166
-305.03333449	0.00264647
-305.00000116	0.00225252
-304.96666782	0.00227546
-304.93333449	-0.00021271
-304.90000116	0.00181456
-304.86666782	0.00217212
-304.83333449	0.00016327
-304.80000116	0.00210260
-304.76666782	0.00002170
-304.73333449	0.00323277
-304.70000115	0.00158517
-304.66666782	0.00125347
-304.63333449	0.00309950
-304.60000115	0.00184715
-304.56666782	-0.00009392
-304.53333449	0.00260173
-304.50000115	-0.00103724
-304.46666782	0.00215992
-304.43333449	0.00306566
-304.40000115	0.00350499
-304.36666782	0.00140096
-304.33333449	0.00072757
-304.30000115	0.00073026
-304.26666782	0.00135551
-304.23333449	0.00219120
-304.20000115	0.00326775
-304.16666782	0.00149228
-304.13333449	0.00137290
-304.10000115	0.00178681
-304.06666782	0.00106537
-304.03333449	0.00374643
-304.00000115	0.00368741
-303.96666782	0.00224635
-303.93333449	0.00400615
-303.90000115	0.00177652
-303.86666782	0.00301184
-303.83333449	0.00234702
-303.80000115	0.00130471
-303.76666782	0.00326861
-303.73333449	0.00319927
-303.70000115	0.00201207
-303.66666782	0.00274404
-303.63333449	0.00173845
-303.60000115	0.00096538
-303.56666782	0.00218338
-303.53333448	0.00296971
-303.50000115	0.00288944
-303.46666782	0.00345274
-303.43333448	0.00260370
-303.40000115	0.00277223
-303.36666782	0.00521260
-303.33333448	0.00227165
-303.30000115	0.00128160
-303.26666782	0.00249445
-303.23333448	0.00345920
-303.20000115	0.00322872
-303.16666782	0.00319665
-303.13333448	0.00467996
-303.10000115	0.00342615
-303.06666782	0.00239054
-303.03333448	0.00398534
-303.00000115	0.00401993
-302.96666782	0.00353332
-302.93333448	0.00337485
-302.90000115	0.00386356
-302.86666782	0.00373924
-302.83333448	0.00241162
-302.80000115	0.00367563
-302.76666782	0.00346150
-302.73333448	0.00281229
-302.70000115	0.00394471
-302.66666782	0.00469650
-302.63333448	0.00032034
-302.60000115	0.00341243
-302.56666782	0.00144970
-302.53333448	0.00018405
-302.50000115	-0.00112882
-302.46666781	-0.00445626
-302.43333448	-0.00282322
-302.40000115	-0.00213474
-302.36666781	-0.00557414
-302.33333448	-0.00619924
-302.30000115	-0.00391290
-302.26666781	-0.00591360
-302.23333448	-0.00408191
-302.20000115	-0.00320736
-302.16666781	-0.00055266
-302.13333448	-0.00192399
-302.10000115	0.00164578
-302.06666781	0.00230832
-302.03333448	0.00477311
-302.00000115	0.00455231
-301.96666781	0.00656111
-301.93333448	0.00770266
-301.90000115	0.00865684
-301.86666781	0.00840896
-301.83333448	0.00973781
-301.80000115	0.01043638
-301.76666781	0.01146371
-301.73333448	0.01107088
-301.70000115	0.01030995
-301.66666781	0.01277955
-301.63333448	0.01307319
-301.60000115	0.01505852
-301.56666781	0.01444119
-301.53333448	0.01417817
-301.50000115	0.01410822
-301.46666781	0.01513804
-301.43333448	0.01516767
-301.40000114	0.01453610
-301.36666781	0.01772583
-301.33333448	0.01829412
-301.30000114	0.01527594
-301.26666781	0.01676053
-301.23333448	0.01650341
-301.20000114	0.01830486
-301.16666781	0.01927779
-301.13333448	0.02010628
-301.10000114	0.02044349
-301.06666781	0.01971170
-301.03333448	0.02082262
-301.00000114	0.02102370
-300.96666781	0.02317040
-300.93333448	0.02332214
-300.90000114	0.02368565
-300.86666781	0.02624436
-300.83333448	0.02694264
-300.80000114	0.03030959
-300.76666781	0.03256423
-300.73333448	0.03479377
-300.70000114	0.03462451
-300.66666781	0.03791270
-300.63333448	0.04150108
-300.60000114	0.04464520
-300.56666781	0.04811642
-300.53333448	0.05176157
-300.50000114	0.05441014
-300.46666781	0.05742955
-300.43333448	0.06169049
-300.40000114	0.06438699
-300.36666781	0.06775162
-300.33333448	0.07097724
-300.30000114	0.07523790
-300.26666781	0.07923762
-300.23333447	0.08153225
-300.20000114	0.08711304
-300.16666781	0.09304967
-300.13333447	0.09726103
-300.10000114	0.10246397
-300.06666781	0.10804909
-300.03333447	0.11321455
-300.00000114	0.11853428
-299.96666781	0.12382324
-299.93333447	0.12810588
-299.90000114	0.12869069
-299.86666781	0.12865638
-299.83333447	0.12485722
-299.80000114	0.11689561
-299.76666781	0.10416683
-299.73333447	0.08090205
-299.70000114	0.05153415
-299.66666781	0.01234466
-299.63333447	-0.03931419
-299.60000114	-0.10644497
-299.56666781	-0.18192349
-299.53333447	-0.27369482
-299.50000114	-0.37546267
-299.46666781	-0.48446561
-299.43333447	-0.59753641
-299.40000114	-0.70745382
-299.36666781	-0.80900546
-299.33333447	-0.89346514
-299.30000114	-0.95790518
-299.26666781	-0.99512103
-299.23333447	-1.00185335
-299.20000114	-0.97808463
-299.16666780	-0.92588328
-299.13333447	-0.84614037
-299.10000114	-0.74494239
-299.06666780	-0.62856638
-299.03333447	-0.49722468
-299.00000114	-0.36111220
-298.96666780	-0.22464868
-298.93333447	-0.09067981
-298.90000114	0.03658958
-298.86666780	0.15560292
-298.83333447	0.26161294
-298.80000114	0.35452902
-298.76666780	0.43502161
-298.73333447	0.50175452
-298.70000114	0.55325148
-298.66666780	0.59547727
-298.63333447	0.62562993
-298.60000114	0.64506238
-298.56666780	0.65680398
-298.53333447	0.65796107
-298.50000114	0.65293502
-298.46666780	0.64347547
-298.43333447	0.62822840
