# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -320.00000000 ps, Average over 40 waveforms. Timestamp: 2021-08-13T21:56:59
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-320.00000117	0.00037957
-319.96666784	0.00046947
-319.93333451	0.00022511
-319.90000117	0.00037461
-319.86666784	0.00016149
-319.83333451	0.00002243
-319.80000117	-0.00007034
-319.76666784	0.00012063
-319.73333451	-0.00005714
-319.70000117	-0.00018248
-319.66666784	-0.00021679
-319.63333451	0.00014993
-319.60000117	-0.00020741
-319.56666784	-0.00007669
-319.53333451	0.00006990
-319.50000117	-0.00014802
-319.46666784	0.00002051
-319.43333451	-0.00018203
-319.40000117	0.00035623
-319.36666784	-0.00004553
-319.33333451	-0.00017567
-319.30000117	-0.00034777
-319.26666784	0.00010048
-319.23333451	0.00008324
-319.20000117	0.00012822
-319.16666784	-0.00015055
-319.13333451	0.00006997
-319.10000117	-0.00041879
-319.06666784	-0.00045257
-319.03333450	-0.00036688
-319.00000117	-0.00018580
-318.96666784	0.00015431
-318.93333450	0.00004089
-318.90000117	-0.00001638
-318.86666784	-0.00061530
-318.83333450	-0.00045659
-318.80000117	-0.00026112
-318.76666784	-0.00005945
-318.73333450	-0.00033593
-318.70000117	-0.00046059
-318.66666784	-0.00039908
-318.63333450	-0.00052097
-318.60000117	-0.00046028
-318.56666784	-0.00007419
-318.53333450	-0.00033020
-318.50000117	-0.00063452
-318.46666784	-0.00027710
-318.43333450	-0.00017582
-318.40000117	-0.00030861
-318.36666784	-0.00013825
-318.33333450	-0.00029814
-318.30000117	-0.00031822
-318.26666784	-0.00041001
-318.23333450	-0.00031217
-318.20000117	-0.00040100
-318.16666784	-0.00024184
-318.13333450	-0.00023381
-318.10000117	-0.00020011
-318.06666784	-0.00019289
-318.03333450	-0.00023709
-318.00000117	-0.00005132
-317.96666784	-0.00005712
-317.93333450	-0.00029533
-317.90000117	-0.00040541
-317.86666783	0.00025516
-317.83333450	-0.00012042
-317.80000117	-0.00003537
-317.76666783	0.00002274
-317.73333450	-0.00021276
-317.70000117	-0.00003307
-317.66666783	0.00006392
-317.63333450	-0.00009721
-317.60000117	0.00017821
-317.56666783	0.00003060
-317.53333450	0.00032963
-317.50000117	0.00034611
-317.46666783	0.00036702
-317.43333450	0.00032047
-317.40000117	0.00048397
-317.36666783	0.00023389
-317.33333450	0.00013233
-317.30000117	0.00023648
-317.26666783	0.00034527
-317.23333450	0.00064055
-317.20000117	0.00018893
-317.16666783	0.00016252
-317.13333450	0.00025848
-317.10000117	0.00027427
-317.06666783	0.00028027
-317.03333450	0.00064137
-317.00000117	0.00057181
-316.96666783	0.00016075
-316.93333450	0.00014821
-316.90000117	0.00058384
-316.86666783	0.00027930
-316.83333450	0.00031084
-316.80000116	0.00037826
-316.76666783	0.00039660
-316.73333450	0.00022200
-316.70000116	0.00016520
-316.66666783	0.00024625
-316.63333450	0.00012387
-316.60000116	0.00019365
-316.56666783	-0.00005721
-316.53333450	0.00003433
-316.50000116	-0.00027320
-316.46666783	0.00005524
-316.43333450	-0.00028870
-316.40000116	-0.00020631
-316.36666783	-0.00035996
-316.33333450	-0.00005117
-316.30000116	-0.00049153
-316.26666783	-0.00042649
-316.23333450	-0.00048342
-316.20000116	-0.00068320
-316.16666783	-0.00038277
-316.13333450	-0.00018718
-316.10000116	-0.00108506
-316.06666783	-0.00062758
-316.03333450	-0.00058353
-316.00000116	-0.00051745
-315.96666783	-0.00057948
-315.93333450	-0.00054095
-315.90000116	-0.00029835
-315.86666783	-0.00071706
-315.83333450	-0.00016244
-315.80000116	-0.00099194
-315.76666783	-0.00035304
-315.73333450	-0.00029273
-315.70000116	-0.00060673
-315.66666783	-0.00077793
-315.63333449	-0.00046042
-315.60000116	-0.00092221
-315.56666783	-0.00057403
-315.53333449	-0.00064270
-315.50000116	-0.00048464
-315.46666783	-0.00054624
-315.43333449	-0.00046633
-315.40000116	-0.00088318
-315.36666783	-0.00039152
-315.33333449	-0.00054413
-315.30000116	-0.00062180
-315.26666783	-0.00105071
-315.23333449	-0.00065954
-315.20000116	-0.00068705
-315.16666783	-0.00090005
-315.13333449	-0.00085473
-315.10000116	-0.00102946
-315.06666783	-0.00083928
-315.03333449	-0.00056162
-315.00000116	-0.00075719
