# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -320.00000000 ps, Average over 1 waveforms. Timestamp: 2021-08-03T12:23:22
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-320.00000246	-0.00049501
-319.96666913	-0.00053768
-319.93333580	0.00139017
-319.90000246	0.00091494
-319.86666913	-0.00065626
-319.83333580	0.00062023
-319.80000246	-0.00056330
-319.76666913	0.00006171
-319.73333580	-0.00065245
-319.70000246	-0.00097216
-319.66666913	0.00079115
-319.63333580	0.00174783
-319.60000246	0.00120829
-319.56666913	0.00085401
-319.53333579	0.00117864
-319.50000246	-0.00082034
-319.46666913	-0.00081752
-319.43333579	-0.00017635
-319.40000246	-0.00092947
-319.36666913	-0.00266198
-319.33333579	-0.00099277
-319.30000246	0.00276975
-319.26666913	0.00044539
-319.23333579	-0.00200930
-319.20000246	-0.00095624
-319.16666913	0.00023158
-319.13333579	-0.00080907
-319.10000246	0.00129150
-319.06666913	0.00054472
-319.03333579	0.00125159
-319.00000246	0.00032826
-318.96666912	-0.00216899
-318.93333579	0.00170911
-318.90000246	0.00064673
-318.86666912	-0.00045815
-318.83333579	-0.00153934
-318.80000246	-0.00129916
-318.76666912	-0.00107848
-318.73333579	0.00077450
-318.70000246	0.00000098
-318.66666912	-0.00050908
-318.63333579	0.00175359
-318.60000246	-0.00211496
-318.56666912	-0.00171203
-318.53333579	-0.00010326
-318.50000246	-0.00047525
-318.46666912	-0.00138202
-318.43333579	0.00000427
-318.40000245	0.00030114
-318.36666912	-0.00161393
-318.33333579	-0.00039977
-318.30000245	-0.00081513
-318.26666912	-0.00033239
-318.23333579	-0.00190713
-318.20000245	-0.00136848
-318.16666912	0.00165845
-318.13333579	0.00014405
-318.10000245	0.00126988
-318.06666912	-0.00045000
-318.03333579	0.00031540
-318.00000245	-0.00016099
-317.96666912	-0.00061168
-317.93333579	0.00037723
-317.90000245	-0.00172262
-317.86666912	-0.00083876
-317.83333578	-0.00016510
-317.80000245	-0.00274349
-317.76666912	-0.00048771
-317.73333578	-0.00118279
-317.70000245	-0.00085937
-317.66666912	0.00047298
-317.63333578	0.00038090
-317.60000245	-0.00001276
-317.56666912	0.00046620
-317.53333578	-0.00062506
-317.50000245	0.00179273
-317.46666912	0.00152005
-317.43333578	0.00165073
-317.40000245	0.00110856
-317.36666911	-0.00147029
-317.33333578	0.00142352
-317.30000245	-0.00185308
-317.26666911	0.00042397
-317.23333578	-0.00057865
-317.20000245	-0.00139403
-317.16666911	0.00026680
-317.13333578	-0.00002094
-317.10000245	0.00022298
-317.06666911	-0.00018273
-317.03333578	-0.00111776
-317.00000245	0.00090056
-316.96666911	0.00017003
-316.93333578	-0.00020425
-316.90000245	0.00057336
-316.86666911	-0.00152557
-316.83333578	0.00012022
-316.80000244	0.00016053
-316.76666911	-0.00121145
-316.73333578	-0.00035961
-316.70000244	0.00061742
-316.66666911	-0.00056165
-316.63333578	-0.00089603
-316.60000244	-0.00021810
-316.56666911	0.00132104
-316.53333578	-0.00170115
-316.50000244	0.00030629
-316.46666911	-0.00088261
-316.43333578	0.00120594
-316.40000244	0.00001352
-316.36666911	0.00072556
-316.33333578	0.00104682
-316.30000244	-0.00058254
-316.26666911	-0.00041302
-316.23333577	-0.00063399
-316.20000244	0.00171271
-316.16666911	0.00100888
-316.13333577	-0.00015588
-316.10000244	-0.00183399
-316.06666911	0.00165255
-316.03333577	-0.00081731
-316.00000244	-0.00090023
-315.96666911	-0.00147513
-315.93333577	0.00108580
-315.90000244	0.00070571
-315.86666911	0.00127955
-315.83333577	-0.00001358
