# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -320.00000000 ps, Average over 40 waveforms. Timestamp: 2021-08-11T16:11:34
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-320.00000100	0.00000916
-319.96666767	-0.00010459
-319.93333433	0.00024959
-319.90000100	-0.00010865
-319.86666767	-0.00001673
-319.83333433	0.00021963
-319.80000100	-0.00001732
-319.76666767	0.00005281
-319.73333433	-0.00009019
-319.70000100	0.00011609
-319.66666767	0.00007294
-319.63333433	-0.00008318
-319.60000100	-0.00024529
-319.56666767	0.00011821
-319.53333433	-0.00007148
-319.50000100	0.00016925
-319.46666767	-0.00001020
-319.43333433	0.00014478
-319.40000100	-0.00007825
-319.36666767	0.00002974
-319.33333433	-0.00007845
-319.30000100	-0.00007753
-319.26666767	0.00000105
-319.23333433	-0.00001255
-319.20000100	0.00003959
-319.16666767	-0.00016590
-319.13333433	-0.00012209
-319.10000100	0.00008499
-319.06666767	-0.00002541
-319.03333433	-0.00035209
-319.00000100	-0.00008270
-318.96666767	-0.00005784
-318.93333433	-0.00000959
-318.90000100	-0.00020922
-318.86666767	-0.00015380
-318.83333433	0.00010021
-318.80000100	-0.00036781
-318.76666767	0.00003498
-318.73333433	0.00013589
-318.70000100	-0.00024821
-318.66666766	-0.00020674
-318.63333433	-0.00000305
-318.60000100	0.00002934
-318.56666766	0.00020624
-318.53333433	0.00004062
-318.50000100	-0.00022307
-318.46666766	0.00003683
-318.43333433	-0.00007243
-318.40000100	0.00000939
-318.36666766	-0.00010140
-318.33333433	-0.00039592
-318.30000100	0.00007937
-318.26666766	0.00000051
-318.23333433	0.00005509
-318.20000100	0.00036683
-318.16666766	0.00001299
-318.13333433	-0.00009658
-318.10000100	-0.00007616
-318.06666766	0.00004884
-318.03333433	0.00012398
-318.00000100	-0.00011804
-317.96666766	0.00026542
-317.93333433	-0.00026666
-317.90000100	-0.00009212
-317.86666766	-0.00029978
-317.83333433	-0.00043705
-317.80000100	-0.00007674
-317.76666766	-0.00005133
-317.73333433	0.00003914
-317.70000100	0.00005240
-317.66666766	0.00015872
-317.63333433	-0.00009338
-317.60000100	-0.00016917
-317.56666766	-0.00016360
-317.53333433	-0.00009820
-317.50000100	0.00006311
-317.46666766	0.00004998
-317.43333433	-0.00023147
-317.40000099	0.00027791
-317.36666766	-0.00009458
-317.33333433	0.00005294
-317.30000099	-0.00031006
-317.26666766	-0.00003454
-317.23333433	-0.00027096
-317.20000099	-0.00003971
-317.16666766	-0.00003575
-317.13333433	0.00006021
-317.10000099	-0.00020202
-317.06666766	-0.00031989
-317.03333433	-0.00019094
-317.00000099	-0.00033339
-316.96666766	0.00010417
-316.93333433	0.00014939
-316.90000099	-0.00022660
-316.86666766	0.00000344
-316.83333433	-0.00000119
-316.80000099	-0.00005407
-316.76666766	-0.00040269
-316.73333433	-0.00012277
-316.70000099	-0.00011007
-316.66666766	0.00006832
-316.63333433	-0.00007679
-316.60000099	-0.00005690
-316.56666766	-0.00015366
-316.53333433	-0.00024839
-316.50000099	-0.00040029
-316.46666766	-0.00009218
-316.43333433	-0.00027412
-316.40000099	-0.00034769
-316.36666766	-0.00023379
-316.33333433	-0.00020389
-316.30000099	-0.00020306
-316.26666766	-0.00011557
-316.23333433	-0.00034037
-316.20000099	-0.00045648
-316.16666766	-0.00035784
-316.13333433	-0.00025833
-316.10000099	-0.00015020
-316.06666766	-0.00016808
-316.03333432	-0.00016352
-316.00000099	-0.00031443
-315.96666766	-0.00012169
-315.93333432	-0.00036057
-315.90000099	-0.00031277
-315.86666766	-0.00033137
-315.83333432	-0.00041266
-315.80000099	-0.00015122
-315.76666766	-0.00054352
-315.73333432	-0.00026172
-315.70000099	-0.00019333
-315.66666766	-0.00022987
-315.63333432	-0.00010550
-315.60000099	-0.00000225
-315.56666766	-0.00014653
-315.53333432	-0.00028722
-315.50000099	-0.00007745
-315.46666766	-0.00018897
-315.43333432	-0.00029828
-315.40000099	-0.00009903
-315.36666766	-0.00034237
-315.33333432	-0.00042753
-315.30000099	-0.00007836
-315.26666766	-0.00017041
-315.23333432	-0.00057140
-315.20000099	-0.00003605
-315.16666766	-0.00029213
-315.13333432	-0.00048317
-315.10000099	-0.00059736
-315.06666766	-0.00075811
-315.03333432	-0.00012246
-315.00000099	-0.00013566
-314.96666766	-0.00027903
-314.93333432	-0.00050392
-314.90000099	-0.00053171
-314.86666766	-0.00023422
-314.83333432	-0.00048619
-314.80000099	-0.00034449
-314.76666766	-0.00041672
-314.73333432	-0.00053600
-314.70000099	-0.00023478
-314.66666765	-0.00015209
-314.63333432	-0.00022221
-314.60000099	-0.00018229
-314.56666765	-0.00012209
-314.53333432	-0.00050088
-314.50000099	0.00013629
-314.46666765	-0.00011355
-314.43333432	-0.00058692
-314.40000099	-0.00048809
-314.36666765	-0.00010077
-314.33333432	-0.00056356
-314.30000099	-0.00057077
-314.26666765	-0.00051887
-314.23333432	-0.00027843
-314.20000099	-0.00048387
-314.16666765	-0.00013764
-314.13333432	-0.00056494
-314.10000099	-0.00042097
-314.06666765	-0.00036715
-314.03333432	-0.00038438
-314.00000099	-0.00047961
-313.96666765	-0.00021890
-313.93333432	-0.00032813
-313.90000099	-0.00033515
-313.86666765	-0.00052388
-313.83333432	-0.00033160
-313.80000099	-0.00039248
-313.76666765	-0.00028559
-313.73333432	-0.00026317
-313.70000099	-0.00017969
-313.66666765	-0.00052798
-313.63333432	-0.00051762
-313.60000099	-0.00020110
-313.56666765	-0.00033808
-313.53333432	-0.00051118
-313.50000099	-0.00043997
-313.46666765	-0.00030732
-313.43333432	-0.00036749
-313.40000098	-0.00049835
-313.36666765	-0.00045635
-313.33333432	-0.00027594
-313.30000098	-0.00083329
-313.26666765	-0.00050969
-313.23333432	-0.00051976
-313.20000098	-0.00077676
-313.16666765	-0.00054337
-313.13333432	-0.00060861
-313.10000098	-0.00055205
-313.06666765	-0.00053836
-313.03333432	-0.00018129
-313.00000098	-0.00023612
-312.96666765	-0.00021375
-312.93333432	-0.00044733
-312.90000098	-0.00034918
-312.86666765	-0.00023831
-312.83333432	-0.00041022
-312.80000098	-0.00044310
-312.76666765	-0.00033254
-312.73333432	-0.00058773
-312.70000098	-0.00055411
-312.66666765	-0.00062389
-312.63333432	-0.00060945
-312.60000098	-0.00043797
-312.56666765	-0.00036471
-312.53333432	-0.00084152
-312.50000098	-0.00031343
-312.46666765	-0.00042164
-312.43333432	-0.00037197
-312.40000098	-0.00066729
-312.36666765	-0.00069561
-312.33333432	-0.00027358
-312.30000098	-0.00029302
-312.26666765	-0.00023077
-312.23333432	-0.00045582
-312.20000098	-0.00041646
-312.16666765	-0.00052859
-312.13333432	-0.00053027
-312.10000098	-0.00036459
-312.06666765	-0.00049543
-312.03333431	-0.00049834
-312.00000098	-0.00053496
-311.96666765	-0.00040574
-311.93333431	-0.00061849
-311.90000098	-0.00063637
-311.86666765	-0.00045063
-311.83333431	-0.00056454
-311.80000098	-0.00039348
-311.76666765	-0.00021841
-311.73333431	-0.00072595
-311.70000098	-0.00005963
-311.66666765	-0.00044673
-311.63333431	-0.00061889
-311.60000098	-0.00057607
-311.56666765	-0.00071151
-311.53333431	-0.00042278
-311.50000098	-0.00081806
-311.46666765	-0.00047552
-311.43333431	-0.00077305
-311.40000098	-0.00056656
-311.36666765	-0.00058076
-311.33333431	-0.00042743
-311.30000098	-0.00053535
-311.26666765	-0.00044159
-311.23333431	-0.00034538
-311.20000098	-0.00048645
-311.16666765	-0.00045161
-311.13333431	-0.00070980
-311.10000098	-0.00041369
-311.06666765	-0.00055633
-311.03333431	-0.00040232
-311.00000098	-0.00052276
-310.96666765	-0.00056968
-310.93333431	-0.00019222
-310.90000098	-0.00036276
-310.86666765	-0.00041596
-310.83333431	-0.00034031
-310.80000098	-0.00060552
-310.76666764	-0.00045390
-310.73333431	-0.00032179
-310.70000098	-0.00026497
-310.66666764	-0.00072264
-310.63333431	-0.00053035
-310.60000098	-0.00016350
-310.56666764	-0.00035192
-310.53333431	-0.00055723
-310.50000098	-0.00060887
-310.46666764	-0.00066194
-310.43333431	-0.00058561
-310.40000098	-0.00057795
-310.36666764	-0.00056079
-310.33333431	-0.00037717
-310.30000098	-0.00060716
-310.26666764	-0.00054618
-310.23333431	-0.00048338
-310.20000098	-0.00058491
-310.16666764	-0.00067774
-310.13333431	-0.00070570
-310.10000098	-0.00039575
-310.06666764	-0.00048498
-310.03333431	-0.00038779
-310.00000098	-0.00060893
-309.96666764	-0.00054577
-309.93333431	-0.00039602
-309.90000098	-0.00042219
-309.86666764	-0.00035156
-309.83333431	-0.00049785
-309.80000098	-0.00062055
-309.76666764	-0.00075754
-309.73333431	-0.00066057
-309.70000098	-0.00056919
-309.66666764	-0.00061985
-309.63333431	-0.00033284
-309.60000098	-0.00068200
-309.56666764	-0.00083455
-309.53333431	-0.00066633
-309.50000098	-0.00053112
-309.46666764	-0.00070081
-309.43333431	-0.00055818
-309.40000097	-0.00082871
-309.36666764	-0.00046338
-309.33333431	-0.00041710
-309.30000097	-0.00051367
-309.26666764	-0.00054348
-309.23333431	-0.00066047
-309.20000097	-0.00049918
-309.16666764	-0.00062626
-309.13333431	-0.00056345
-309.10000097	-0.00072584
-309.06666764	-0.00044050
-309.03333431	-0.00054210
-309.00000097	-0.00047973
-308.96666764	-0.00058679
-308.93333431	-0.00058420
-308.90000097	-0.00083350
-308.86666764	-0.00051241
-308.83333431	-0.00070087
-308.80000097	-0.00059480
-308.76666764	-0.00093774
-308.73333431	-0.00065373
-308.70000097	-0.00076620
-308.66666764	-0.00051868
-308.63333431	-0.00058407
-308.60000097	-0.00119040
-308.56666764	-0.00061410
-308.53333431	-0.00081870
-308.50000097	-0.00086207
-308.46666764	-0.00030754
-308.43333431	-0.00070263
-308.40000097	-0.00085768
-308.36666764	-0.00064230
-308.33333431	-0.00087805
-308.30000097	-0.00056271
-308.26666764	-0.00060222
-308.23333431	-0.00068510
-308.20000097	-0.00070921
-308.16666764	-0.00062592
-308.13333431	-0.00049138
-308.10000097	-0.00032223
-308.06666764	-0.00042101
-308.03333430	-0.00089714
-308.00000097	-0.00055115
-307.96666764	-0.00073449
-307.93333430	-0.00057986
-307.90000097	-0.00064713
-307.86666764	-0.00012181
-307.83333430	-0.00067013
-307.80000097	-0.00047176
-307.76666764	-0.00085594
-307.73333430	-0.00056609
-307.70000097	-0.00034230
-307.66666764	-0.00090297
-307.63333430	-0.00070267
-307.60000097	-0.00076255
-307.56666764	-0.00069500
-307.53333430	-0.00081660
-307.50000097	-0.00059000
-307.46666764	-0.00061992
-307.43333430	-0.00033836
-307.40000097	-0.00051052
-307.36666764	-0.00079603
-307.33333430	-0.00067072
-307.30000097	-0.00083528
-307.26666764	-0.00065740
-307.23333430	-0.00066120
-307.20000097	-0.00097690
-307.16666764	-0.00078393
-307.13333430	-0.00079645
-307.10000097	-0.00088423
-307.06666764	-0.00061333
-307.03333430	-0.00096742
-307.00000097	-0.00064447
-306.96666764	-0.00051657
-306.93333430	-0.00066939
-306.90000097	-0.00082072
-306.86666764	-0.00051813
-306.83333430	-0.00054772
-306.80000097	-0.00067647
-306.76666763	-0.00056927
-306.73333430	-0.00050698
-306.70000097	-0.00072694
-306.66666763	-0.00061352
-306.63333430	-0.00044243
-306.60000097	-0.00057588
-306.56666763	-0.00058325
-306.53333430	-0.00045225
-306.50000097	-0.00074364
-306.46666763	-0.00093346
-306.43333430	-0.00084272
-306.40000097	-0.00095573
-306.36666763	-0.00056892
-306.33333430	-0.00062638
-306.30000097	-0.00053279
-306.26666763	-0.00066217
-306.23333430	-0.00085163
-306.20000097	-0.00056948
-306.16666763	-0.00066036
-306.13333430	-0.00071885
-306.10000097	-0.00073810
-306.06666763	-0.00090839
-306.03333430	-0.00074482
-306.00000097	-0.00052851
-305.96666763	-0.00047429
-305.93333430	-0.00075922
-305.90000097	-0.00076390
-305.86666763	-0.00059812
-305.83333430	-0.00049841
-305.80000097	-0.00044847
-305.76666763	-0.00068628
-305.73333430	-0.00052374
-305.70000097	-0.00044141
-305.66666763	-0.00073978
-305.63333430	-0.00072730
-305.60000097	-0.00062891
-305.56666763	-0.00099079
-305.53333430	-0.00079937
-305.50000097	-0.00075632
-305.46666763	-0.00104271
-305.43333430	-0.00112820
-305.40000096	-0.00054630
-305.36666763	-0.00079921
-305.33333430	-0.00086392
-305.30000096	-0.00064432
-305.26666763	-0.00037532
-305.23333430	-0.00063149
-305.20000096	-0.00055903
-305.16666763	-0.00056623
-305.13333430	-0.00066271
-305.10000096	-0.00080085
-305.06666763	-0.00051423
-305.03333430	-0.00082638
-305.00000096	-0.00067761
-304.96666763	-0.00072199
-304.93333430	-0.00077183
-304.90000096	-0.00052106
-304.86666763	-0.00078181
-304.83333430	-0.00043881
-304.80000096	-0.00054907
-304.76666763	-0.00060664
-304.73333430	-0.00049520
-304.70000096	-0.00072191
-304.66666763	-0.00102801
-304.63333430	-0.00076088
-304.60000096	-0.00081458
-304.56666763	-0.00054366
-304.53333430	-0.00097031
-304.50000096	-0.00069592
-304.46666763	-0.00079931
-304.43333430	-0.00072353
-304.40000096	-0.00100277
-304.36666763	-0.00078633
-304.33333430	-0.00104592
-304.30000096	-0.00080981
-304.26666763	-0.00072034
-304.23333430	-0.00055548
-304.20000096	-0.00048696
-304.16666763	-0.00087429
-304.13333430	-0.00077289
-304.10000096	-0.00076194
-304.06666763	-0.00055923
-304.03333429	-0.00092991
-304.00000096	-0.00111728
-303.96666763	-0.00068844
-303.93333429	-0.00074723
-303.90000096	-0.00055189
-303.86666763	-0.00067162
-303.83333429	-0.00075411
-303.80000096	-0.00088067
-303.76666763	-0.00064654
-303.73333429	-0.00087666
-303.70000096	-0.00082887
-303.66666763	-0.00089763
-303.63333429	-0.00048644
-303.60000096	-0.00054219
-303.56666763	-0.00098973
-303.53333429	-0.00092036
-303.50000096	-0.00077534
-303.46666763	-0.00077454
-303.43333429	-0.00070924
-303.40000096	-0.00040977
-303.36666763	-0.00096066
-303.33333429	-0.00086216
-303.30000096	-0.00075147
-303.26666763	-0.00115727
-303.23333429	-0.00089525
-303.20000096	-0.00074536
-303.16666763	-0.00067736
-303.13333429	-0.00064717
-303.10000096	-0.00073825
-303.06666763	-0.00112780
-303.03333429	-0.00098452
-303.00000096	-0.00091345
-302.96666763	-0.00102045
-302.93333429	-0.00069013
-302.90000096	-0.00081041
-302.86666763	-0.00087582
-302.83333429	-0.00093938
-302.80000096	-0.00089376
-302.76666762	-0.00099880
-302.73333429	-0.00084258
-302.70000096	-0.00082609
-302.66666762	-0.00082432
-302.63333429	-0.00072150
-302.60000096	-0.00045263
-302.56666762	-0.00087118
-302.53333429	-0.00086341
-302.50000096	-0.00107854
-302.46666762	-0.00068495
-302.43333429	-0.00104666
-302.40000096	-0.00050925
-302.36666762	-0.00078449
-302.33333429	-0.00103687
-302.30000096	-0.00094595
-302.26666762	-0.00088899
-302.23333429	-0.00095756
